Acamprosato;ACAMPROSATO 333MG 84 UNITA' USO ORALE;CAMPRAL*84 cpr riv gastrores 333 mg;33,77;BRUNO FARMACEUTICI SpA;034208013;H0A;;;
Acarbosio;ACARBOSIO 100MG 40 UNITA' USO ORALE;ACARBOSIO*40 cpr 100 mg;5,63;DOC GENERICI Srl;044155024;H1A;X;;
Acarbosio;ACARBOSIO 100MG 40 UNITA' USO ORALE;ACARBOSIO*40 cpr 100 mg;5,63;TECNIMEDE SOC.TECNICO-MED.S.A.;039716182;H1A;X;;
Acarbosio;ACARBOSIO 50MG 40 UNITA' USO ORALE;ACARBOSIO*40 cpr 50 mg;5,63;DOC GENERICI Srl;044155012;H1B;X;;
Acarbosio;ACARBOSIO 50MG 40 UNITA' USO ORALE;ACARBOSIO*40 cpr 50 mg;5,63;TECNIMEDE SOC.TECNICO-MED.S.A.;039716170;H1B;X;;
Acarbosio;ACARBOSIO 100MG 40 UNITA' USO ORALE;ACARPHAGE*40 cpr 100 mg;5,63;MERCK SERONO SpA;038835144;H1A;X;;
Acarbosio;ACARBOSIO 50MG 40 UNITA' USO ORALE;ACARPHAGE*40 cpr 50 mg;5,63;MERCK SERONO SpA;038835043;H1B;X;;
Acarbosio;ACARBOSIO 100MG 40 UNITA' USO ORALE;GLUCOBAY*40 cpr 100 mg;8,04;BAYER SpA;026851016;H1A;X;;
Acarbosio;ACARBOSIO 50MG 40 UNITA' USO ORALE;GLUCOBAY*40 cpr 50 mg;8,04;BAYER SpA;026851028;H1B;X;;
Acarbosio;ACARBOSIO 50MG 40 UNITA' USO ORALE;GLUCOBAY*40 cpr 50 mg;8,04;GMM FARMA Srl;045430016;H1B;X;;
Acebutololo;ACEBUTOLOLO 400MG 30 UNITA' USO ORALE;SECTRAL*30 cpr 400 mg;10,71;CHEPLAPHARM ARZNEIMITTEL GMBH;024155057;B4A;;;
Aceclofenac;ACECLOFENAC 100MG 40 UNITA' USO ORALE;ACECLOFENAC*40 cpr riv 100 mg;5,64;ACCORD HEALTHCARE SLU;042403042;B5B;X;;
Aceclofenac;ACECLOFENAC 100MG 40 UNITA' USO ORALE;ACECLOFENAC*40 cpr riv 100 mg;5,64;EG SpA;043259035;B5B;X;;
Aceclofenac;ACECLOFENAC 100MG 40 UNITA' USO ORALE;AIRTAL*40 cpr riv 100 mg;10,26;ALMIRALL S.A.;032773020;B5B;X;;
Aceclofenac;ACECLOFENAC 100MG 30 UNITA' USO ORALE;AIRTAL*orale sosp polv 30 bust 100 mg;8,14;ALMIRALL S.A.;032773032;B5A;;Toscana;
Aceclofenac;ACECLOFENAC 100MG 40 UNITA' USO ORALE;GLADIO*40 cpr riv 100 mg;10,57;ABIOGEN PHARMA SpA;031220015;B5B;X;;
Aceclofenac;ACECLOFENAC 100MG 30 UNITA' USO ORALE;GLADIO*orale polv 30 bust 100 mg;8,33;ABIOGEN PHARMA SpA;031220027;B5A;;Toscana;
Aceclofenac;ACECLOFENAC 100MG 40 UNITA' USO ORALE;KAFENAC*40 cpr riv 100 mg;10,26;ALMIRALL S.A.;031842014;B5B;X;;
Aceclofenac;ACECLOFENAC 100MG 30 UNITA' USO ORALE;KAFENAC*orale sosp polv 30 bust 100 mg;8,09;ALMIRALL S.A.;031842026;B5A;;Toscana;
Acenocumarolo;ACENOCUMAROLO 1MG 20 UNITA' USO ORALE;SINTROM*20 cpr 1 mg;1,91;MERUS LABS LUXCO II SARL;011782024;H2A;;;
Acenocumarolo;ACENOCUMAROLO 4MG 20 UNITA' USO ORALE;SINTROM*20 cpr div 4 mg;2,03;MERUS LABS LUXCO II SARL;011782012;H2B;;;
Acetazolamide;ACETAZOLAMIDE 250MG 12 UNITA' USO ORALE;DIAMOX*12 cpr 250 mg;3,03;TEOFARMA Srl;009277017;H3A;;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLIN*25 cpr 400 mg;9,01;FIDIA FARMACEUTICI SpA;028614055;26C;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLIN*35 cpr 800 mg;25,04;FIDIA FARMACEUTICI SpA;028614081;26E;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLIN*orale sosp 100 ml 8% flacone;13,90;FIDIA FARMACEUTICI SpA;028614129;26A;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR GIT*35 cpr 800 mg;25,04;S.F. GROUP Srl;033429046;26E;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR GIT*orale sosp 100 ml 8% flacone;13,90;S.F. GROUP Srl;033429022;26A;X;;
Aciclovir;ACICLOVIR 200MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 200 mg;11,29;AUROBINDO PHARMA ITALIA Srl;046032013;26B;X;;
Aciclovir;ACICLOVIR 200MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 200 mg;11,29;EG SpA;032307011;26B;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;AUROBINDO PHARMA ITALIA Srl;046032049;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;DOC GENERICI Srl;033551021;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;EG SpA;032307023;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;MYLAN SpA;034738031;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;SANDOZ SpA;033731011;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;SUN PHARMACEUTICAL IND.EU.B.V.;032927030;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;TEVA ITALIA Srl;028467037;26C;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;ABC FARMACEUTICI SpA;033482047;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;ACCORD HEALTHCARE SLU;031846049;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;ALMUS Srl;033868011;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;AUROBINDO PHARMA ITALIA Srl;035853011;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;AUROBINDO PHARMA ITALIA Srl;036035018;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;AUROBINDO PHARMA ITALIA Srl;046032052;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;DOC GENERICI Srl;033551072;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;EG SpA;032307086;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;LABORATORI ALTER Srl;036110017;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;MYLAN SpA;034738043;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;PENSA PHARMA SpA;034583031;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;SANDOZ SpA;033731050;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;SUN PHARMACEUTICAL IND.EU.B.V.;032927055;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;TEVA ITALIA Srl;028467064;26E;X;;
Aciclovir;ACICLOVIR 250MG 5 UNITA' USO PARENTERALE;ACICLOVIR*5 fiale EV 250 mg;80,54;RECORDATI SpA;033672027;26I;;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*orale sosp 100 ml 8%;13,90;ABC FARMACEUTICI SpA;033482023;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*orale sosp 100 ml 8% flacone;13,90;ACCORD HEALTHCARE SLU;031846025;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*orale sosp 100 ml 8% flacone;13,90;ALMUS Srl;033868023;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*orale sosp 100 ml 8% flacone;13,90;AUROBINDO PHARMA ITALIA Srl;036035032;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*orale sosp 100 ml 8% flacone;13,90;DOC GENERICI Srl;033551060;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*orale sosp 100 ml 8% flacone;13,90;EG SpA;032307035;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*orale sosp 100 ml 8% flacone;13,90;MYLAN SpA;034738056;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*orale sosp 100 ml 8% flacone;13,90;SANDOZ SpA;033731035;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*orale sosp 100 ml 8% flacone;13,90;TEVA ITALIA Srl;028467049;26A;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;AMODIVYR*35 cpr 800 mg;25,04;DYMALIFE PHARMACEUTICAL Srl;033471018;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;CITIVIR*35 cpr 800 mg;31,59;C.T. LAB.FARMACEUTICO Srl;028528077;26E;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;CIVRAL*25 cpr 400 mg;9,01;PHARMABER Srl;028920039;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;CYCLOVIRAN*25 cpr 400 mg;11,01;ALFASIGMA SpA;025299076;26C;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;CYCLOVIRAN*35 cpr 800 mg;29,04;ALFASIGMA SpA;025299126;26E;X;;
Aciclovir;ACICLOVIR 800MG 25 UNITA' USO ORALE;NEVIRAN*25 cpr 800 mg;36,41;S.F. GROUP Srl;028425066;26D;;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;NEVIRAN*35 cpr 800 mg;25,04;S.F. GROUP Srl;028425078;26E;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;NEVIRAN*orale sosp 100 ml 8% flacone;13,90;S.F. GROUP Srl;028425039;26A;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;SINAFID*25 cpr 400 mg;9,01;FIDIA FARMACEUTICI SpA;037290018;26C;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;TUCLOR*35 cpr 800 mg;25,04;LANOVA FARMACEUTICI Srl;035005014;26E;X;;
Aciclovir;ACICLOVIR 200MG 25 UNITA' USO ORALE;ZOVIRAX*25 cpr 200 mg;18,08;GLAXOSMITHKLINE SpA;025298050;26B;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ZOVIRAX*25 cpr 400 mg;15,18;GLAXOSMITHKLINE SpA;025298074;26C;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ZOVIRAX*35 cpr 800 mg;52,01;GLAXOSMITHKLINE SpA;025298124;26E;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ZOVIRAX*FORTE orale sosp 100 ml 8% flacone;21,23;GLAXOSMITHKLINE SpA;025298086;26A;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg;1,41;ARISTO PHARMA GMBH;046280018;H4B;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg;1,41;DOC GENERICI Srl;042179010;H4B;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg;1,41;EG SpA;042180048;H4B;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg;1,41;KRKA D.D.NOVO MESTO;044822029;H4B;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg;1,41;MYLAN SpA;047065014;H4B;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg;1,41;SANDOZ SpA;042200016;H4B;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg;1,41;TEVA ITALIA Srl;042207011;H4B;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;CARDIOASPIRIN*30 cpr gastrores 100 mg;2,35;BAYER SpA;024840074;H4B;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 160MG 30 UNITA' USO ORALE;CARDIRENE*30 bust polv orale 160 mg;3,00;SANOFI Srl;028717015;H4C;;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 300MG 30 UNITA' USO ORALE;CARDIRENE*30 bust polv orale 300 mg;3,00;SANOFI Srl;028717027;H4D;;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 75MG 30 UNITA' USO ORALE;CARDIRENE*30 bust polv orale 75 mg;2,32;SANOFI Srl;028717041;H4A;;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' POLVERE USO ORALE;CARDIRENE*orale polv 30 bust 100 mg;2,40;SANOFI Srl;028717039;H4F;;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 1.000MG 6 UNITA' USO PARENTERALE;FLECTADOL*6 fiale IM EV 1 g + 6 fiale solv 5 ml;10,97;SANOFI Srl;022620191;H4E;;;
Acido acetilsalicilico/magnesio idrossido/algeldrato;ACIDO ACETILSALICILICO+MAGNESIO IDROSSIDO+ALGELDRATO 300MG 20 UNITA' USO ORALE;ASCRIPTIN*20 cpr div 300 mg + 80 mg + 70 mg;2,32;SANOFI Srl;023075029;H5A;;;
Acido alendronico;ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE;ACIDO ALENDRONICO*12 cpr 70 mg;25,20;AUROBINDO PHARMA ITALIA Srl;041256241;CQD;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE;ACIDO ALENDRONICO*12 cpr 70 mg;25,20;FG Srl;037515020;CQD;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ACIDO ALENDRONICO*4 cpr 70 mg;13,48;AUROBINDO PHARMA ITALIA Srl;041256227;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ACIDO ALENDRONICO*4 cpr 70 mg;13,48;FG Srl;037515018;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ACIDO ALENDRONICO*4 cpr 70 mg;13,48;ZENTIVA ITALIA Srl;037514015;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ACIDO ALENDRONICO*4 cpr riv 70 mg;13,48;GERMED PHARMA Srl;037443013;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ACIDO ALENDRONICO*4 cpr riv 70 mg;13,48;LABORATORI ALTER Srl;041538024;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ACIDO ALENDRONICO*4 cpr riv 70 mg;13,48;TECNIGEN Srl;043119015;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 10MG 14 UNITA' USO ORALE;ADRONAT*14 cpr 10 mg;17,22;NEOPHARMED GENTILI SpA;029053030;CQB;;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ADRONAT*4 cpr 70 mg;16,48;NEOPHARMED GENTILI SpA;029053079;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE;ALENDRONATO*12 cpr 70 mg;25,20;DOC GENERICI Srl;037520020;CQD;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE;ALENDRONATO*12 cpr 70 mg;25,20;EG SpA;037194103;CQD;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE;ALENDRONATO*12 cpr 70 mg;25,20;TEVA B.V.;038317044;CQD;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE;ALENDRONATO*12 cpr riv 70 mg;25,20;SANDOZ SpA;038408047;CQD;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDRONATO*4 cpr 70 mg;13,48;DOC GENERICI Srl;037520018;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDRONATO*4 cpr 70 mg;13,48;EG SpA;037194089;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDRONATO*4 cpr 70 mg;13,48;MYLAN SpA;037198013;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDRONATO*4 cpr 70 mg;13,48;PENSA PHARMA SpA;038007100;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDRONATO*4 cpr 70 mg;13,48;SUN PHARMACEUTICAL IND.EU.B.V.;038006108;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDRONATO*4 cpr 70 mg;13,48;TEVA B.V.;038317020;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDRONATO*4 cpr riv 70 mg;13,48;ALMUS Srl;037499011;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDRONATO*4 cpr riv 70 mg;13,48;SANDOZ GMBH;038408023;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENDROS*4 cpr 70 mg;15,37;ABIOGEN PHARMA SpA;029051075;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 4 UNITA' USO ORALE;ALENIC*4 cpr 70 mg;13,48;EPIFARMA Srl;037521010;CQA;X;;
Acido alendronico;ACIDO ALENDRONICO 70MG 12 UNITA' USO ORALE;ASTON*12 cpr riv 70 mg;25,20;S.F. GROUP Srl;037444027;CQD;X;;
