Principio Attivo;Descrizione Gruppo Equivalenza;Denominazione e Confezione;Prezzo al pubblico €;Prezzo Ex-factory €;Prezzo massimo di cessione €;Titolare AIC;"Codice 
AIC";Codice Gruppo Equivalenza;Metri cubi ossigeno ;;;;;;;;;;;;;;;;
Abacavir;ABACAVIR 300MG 60 UNITA' USO ORALE;ABACAVIR*60 cpr riv 300 mg;235,86;142,91;-;MYLAN SpA;045354040;AAC;;;;;;;;;;;;;;;;;
Abacavir;ABACAVIR 300MG 60 UNITA' USO ORALE;ZIAGEN*60 cpr riv 300 mg;336,95;204,16;-;VIIV HEALTHCARE BV;034499018;AAC;;;;;;;;;;;;;;;;;
Abacavir;ABACAVIR 20MG/ML 240ML USO ORALE;ZIAGEN*orale soluz flacone 240 ml 20 mg/ml;89,86;54,44;-;VIIV HEALTHCARE BV;034499020;AAB;;;;;;;;;;;;;;;;;
Abacavir/lamivudina;ABACAVIR+LAMIVUDINA 600+300MG 30 UNITA' USO ORALE;ABACAVIR E LAMIVUDINA*30 cpr riv 600 mg + 300 mg;170,27;103,16;-;MYLAN SpA;043971011;AAD;;;;;;;;;;;;;;;;;
Abacavir/lamivudina;ABACAVIR+LAMIVUDINA 600+300MG 30 UNITA' USO ORALE;ABACAVIR E LAMIVUDINA*30 cpr riv 600 mg + 300 mg;60,00;36,36;-;DOC GENERICI Srl;044114015;AAD;;;;;;;;;;;;;;;;;
Abacavir/lamivudina;ABACAVIR+LAMIVUDINA 600+300MG 30 UNITA' USO ORALE;ABACAVIR E LAMIVUDINA*30 cpr riv 600 mg + 300 mg;170,27;103,16;-;AUROBINDO PHARMA ITALIA Srl;044669012;AAD;;;;;;;;;;;;;;;;;
Abacavir/lamivudina;ABACAVIR+LAMIVUDINA 600+300MG 30 UNITA' USO ORALE;ABACAVIR E LAMIVUDINA*30 cpr riv 600 mg + 300 mg;170,27;103,16;-;EG SpA;044719019;AAD;;;;;;;;;;;;;;;;;
Abacavir/lamivudina;ABACAVIR+LAMIVUDINA 600+300MG 30 UNITA' USO ORALE;ABACAVIR E LAMIVUDINA*30 cpr riv 600 mg + 300 mg;170,27;103,16;-;DR. REDDY'S Srl;044980011;AAD;;;;;;;;;;;;;;;;;
Abacavir/Lamivudina;ABACAVIR+LAMIVUDINA 600+300MG 30 UNITA' USO ORALE;ABACAVIR E LAMIVUDINA*30 cpr riv 600 mg + 300 mg;60,00;36,36;-;SUN PHARMACEUTICAL INDUSTRIES EUROPE B.V.;045348036;AAD;;;;;;;;;;;;;;;;;
Abacavir/lamivudina;ABACAVIR+LAMIVUDINA 600+300MG 30 UNITA' USO ORALE;ABACAVIR E LAMIVUDINA*30 cpr riv 600 mg + 300 mg;96,48;58,46;-;ARISTO PHARMA GMBH;045522012;AAD;;;;;;;;;;;;;;;;;
